CTF,CTF2
-0.230717,-0.83074
-0.202875,-0.82267
-0.201213,-0.83015
-0.156735,-0.82825
-0.154855,-0.82313
-0.133179,-0.79886
-0.137842,-0.82217
-0.107046,-0.82217
-0.083611,-0.83501
-0.086786,-0.81171
-0.069484,-0.8179
-0.083973,-0.80253
-0.075915,-0.81194
-0.074395,-0.83021
-0.070277,-0.82393
-0.052836,-0.79628
-0.055042,-0.80065
-0.047878,-0.81363
-0.025516,-0.80673
-0.023035,-0.81512
-0.025373,-0.80856
-0.066621,-0.82264
-0.067976,-0.80602
-0.070172,-0.82664
-0.064321,-0.82623
-0.062209,-0.82554
-0.099762,-0.83342
-0.10016,-0.80436
-0.100129,-0.80827
-0.095671,-0.80849
-0.10366,-0.8195
-0.07567,-0.81932
-0.083606,-0.81157
-0.077447,-0.81821
-0.119092,-0.817
-0.130668,-0.80977
-0.12746,-0.82177
-0.107418,-0.80937
-0.101145,-0.80203
-0.111042,-0.80074
-0.099458,-0.81825
-0.106481,-0.81993
-0.121398,-0.83065
-0.115861,-0.80347
-0.106471,-0.8273
-0.04854,-0.83571
-0.049537,-0.81297
-0.036014,-0.80328
-0.026902,-0.79992
-0.003935,-0.82235
-0.051346,-0.82928
-0.047943,-0.83613
-0.024465,-0.83643
-0.023455,-0.81828
-0.034186,-0.83909
-0.010089,-0.8254
-0.005146,-0.8179
-0.060826,-0.82982
-0.053389,-0.82569
-0.003178,-0.8326
-0.053372,-0.81803
-0.046359,-0.80921
-0.029929,-0.81513
-0.033875,-0.81327
0.005012,-0.81835
0.002144,-0.81608
0.050818,-0.8243
0.054208,-0.8286
-0.036174,-0.8247
-0.017293,-0.82037
-0.024601,-0.81416
-0.022658,-0.81309
-0.035842,-0.79867
-0.00302,-0.80953
-0.011382,-0.82537
-0.033801,-0.8172
-0.024192,-0.82382
0.026236,-0.8088
0.056572,-0.83293
0.069575,-0.82947
0.041113,-0.83319
0.03104,-0.81181
-0.00314,-0.80104
0.021238,-0.79562
0.036064,-0.80983
0.054558,-0.79113
0.085812,-0.8195
0.051682,-0.83419
0.03735,-0.83342
0.049189,-0.80861
-0.061042,-0.83783
-0.067195,-0.836
-0.025098,-0.83447
-0.021948,-0.84415
-0.024818,-0.83713
-0.078439,-0.83362
-0.043146,-0.81175
-0.041724,-0.8297
-0.082499,-0.83385
-0.086048,-0.82906
-0.034302,-0.81161
-0.02966,-0.80116
-0.045374,-0.78413
-0.054972,-0.79447
-0.054972,-0.80184
-0.054972,-0.82813
-0.054972,-0.82654
-0.054972,-0.80402
-0.06618,-0.80281
-0.06618,-0.80728
-0.06618,-0.83732
-0.06618,-0.84027
-0.07135,-0.8305
-0.07135,-0.80562
-0.07135,-0.83679
-0.07135,-0.83428
-0.07135,-0.81781
-0.07135,-0.85334
-0.07135,-0.81517
-0.07135,-0.83147
-0.065292,-0.84046
-0.065292,-0.78627
-0.065292,-0.80615
-0.065292,-0.75015
-0.051217,-0.80728
-0.051217,-0.83936
-0.051217,-0.80381
-0.051217,-0.83279
-0.051217,-0.81021
-0.063369,-0.79131
-0.063369,-0.79095
-0.063369,-0.79197
-0.063369,-0.76421
-0.063369,-0.74794
-0.063369,-0.81552
-0.063369,-0.73123
-0.063369,-0.76522
-0.064345,-0.72153
-0.064345,-0.77588
-0.064345,-0.68359
-0.064345,-0.67307
-0.064345,-0.59707
-0.064345,-0.60114
-0.064345,-0.68592
-0.064345,-0.46659
-0.053847,-0.1877
-0.053847,-0.18536
-0.053847,0.55191
-0.053847,1.93242
-0.053847,3.23519
