CTF,CTF2,CTF3
0.443187,-0.254104,-0.81697
0.855604,-0.08614,-0.83182
0.999694,0.184809,-0.83828
0.828257,0.136572,-0.82452
0.393716,0.126044,-0.83708
0.167098,-0.102659,-0.82133
0.675536,-0.179756,-0.83722
0.9679,0.19303,-0.84281
0.948526,0.093084,-0.83873
0.621784,0.0176,-0.81116
0.092092,0.175424,-0.82109
0.468692,-0.073559,-0.82797
0.876765,-0.025554,-0.81787
0.996736,-0.182315,-0.82789
0.787171,0.278339,-0.83061
0.315693,-0.091907,-0.83359
0.261978,-0.416838,-0.83091
0.752971,0.328088,-0.83508
0.99163,0.163194,-0.83101
0.895826,0.199808,-0.83173
0.496046,1.676985,-0.83918
0.073363,-0.182994,-0.82828
0.618749,-0.22504,-0.83191
0.952732,0.313532,-0.82763
0.958947,0.053901,-0.83592
0.633311,-0.68761,-0.82729
0.08702,-4.520595,-0.8259
0.490619,-0.374113,-0.82614
0.897455,-1.01303,-0.827
0.989421,-0.316001,-0.8297
0.732207,-0.151293,-0.82715
0.214977,0.713178,-0.83628
0.3797,-0.528467,-0.8364
0.839764,0.327473,-0.83362
0.999399,-0.151397,-0.83985
0.799384,0.098402,-0.82149
0.309978,0.308666,-0.83205
0.292811,0.028894,-0.84075
0.789965,0.084009,-0.83664
0.998977,0.089004,-0.82415
0.841474,0.337093,-0.84019
0.373437,0.052853,-0.82972
0.233639,0.111347,-0.83398
0.754955,0.153184,-0.84381
0.995566,0.185031,-0.84234
0.863802,0.247257,-0.84465
0.407115,0.159608,-0.83227
0.20399,-0.094862,-0.83093
0.738861,0.400742,-0.8299
0.993708,0.118536,-0.85092
0.86971,0.401795,-0.84384
0.412285,0.104026,-0.83773
0.204492,0.045528,-0.83205
0.743344,0.145547,-0.83507
0.995066,-0.006958,-0.84382
0.860157,0.360941,-0.8378
0.389183,0.261144,-0.83643
0.235104,-0.092457,-0.84759
0.767938,0.079767,-0.84131
0.998451,0.164968,-0.84232
0.833661,-0.033955,-0.83452
0.336963,-0.255698,-0.83654
0.295085,0.181486,-0.84396
0.80991,-0.461075,-0.84284
0.999822,0.589148,-0.83664
0.78641,-1.486848,-0.84257
0.254014,-0.699745,-0.83783
0.382579,-0.348523,-0.8304
0.864015,-0.561749,-0.82609
0.992291,-0.550693,-0.80828
0.712781,-1.242651,-0.7966
0.13871,-0.851468,-0.81528
0.493744,1.029078,-0.81302
0.921978,-3.292046,-0.82506
0.966296,-0.044668,-0.82684
0.606144,-0.348468,-0.82503
0.009257,-0.219851,-0.821
0.621722,-0.324919,-0.8294
0.972061,0.01234,-0.82139
